City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel_Name,Hotel Name
3,Butaritari,KI,82.38,broken clouds,3.0707,172.7902,,
13,Kavaratti,IN,80.38,overcast clouds,10.5669,72.642,,
29,Sabang,ID,81.64,few clouds,5.8933,95.3214,,
36,Kapaa,US,80.92,light rain,22.0752,-159.319,,
42,West Bay,KY,84.27,few clouds,19.3667,-81.4167,,
46,Kahului,US,84.22,broken clouds,20.8947,-156.47,,
47,Nieuw Nickerie,SR,80.89,overcast clouds,5.95,-56.9833,,
52,Cabo San Lucas,MX,92.5,broken clouds,22.8909,-109.9124,,
63,Hithadhoo,MV,81.37,broken clouds,-0.6,73.0833,,
65,Naze,JP,81.52,scattered clouds,28.3667,129.4833,,
72,Lahaina,US,84.2,light rain,20.8783,-156.6825,,
94,Victoria,HK,86.38,broken clouds,22.2855,114.1577,,
97,Buluang,PH,85.32,scattered clouds,13.3068,123.3425,,
98,Wanning,CN,82.92,few clouds,18.8003,110.3967,,
99,Alta Floresta,BR,81.97,overcast clouds,-9.8756,-56.0861,,
100,Saint George,US,84.43,scattered clouds,37.1041,-113.5841,,
101,Georgetown,MY,82.89,few clouds,5.4112,100.3354,,
104,Kimbe,PG,89.22,few clouds,-5.5502,150.1429,,
106,Pandan,PH,85.23,broken clouds,14.0453,124.1694,,
108,Tual,ID,82.65,few clouds,-5.6667,132.75,,
124,Hilo,US,82.27,scattered clouds,19.7297,-155.09,,
151,Labuhan,ID,82.71,overcast clouds,-6.8844,112.2051,,
169,Clovis,US,87.84,smoke,36.8252,-119.7029,,
179,Kavieng,PG,85.23,clear sky,-2.5744,150.7967,,
180,Itoman,JP,86.02,few clouds,26.1247,127.6694,,
181,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,,
196,Barabai,ID,80.15,light rain,-2.5833,115.3833,,
198,Balabac,PH,83.01,overcast clouds,7.9868,117.0645,,
200,Manggar,ID,80.17,overcast clouds,-2.8833,108.2667,,
207,Bubaque,GW,81.37,broken clouds,11.2833,-15.8333,,
213,Iranshahr,IR,80.94,clear sky,27.2025,60.6848,,
236,Hede,CN,86.47,overcast clouds,33.7681,120.2517,,
237,Manaure,CO,83.23,clear sky,11.7751,-72.4445,,
241,Namatanai,PG,86.0,scattered clouds,-3.6667,152.4333,,
244,Isangel,VU,80.71,broken clouds,-19.55,169.2667,,
268,Gushikawa,JP,85.23,scattered clouds,26.3544,127.8686,,
275,Mount Isa,AU,87.57,overcast clouds,-20.7333,139.5,,
276,Salalah,OM,80.69,broken clouds,17.0151,54.0924,,
277,Kloulklubed,PW,86.5,overcast clouds,7.0419,134.2556,,
283,Dehloran,IR,84.09,clear sky,32.6941,47.2679,,
288,Redlands,US,88.07,few clouds,34.0556,-117.1825,,
294,Yumbing,PH,83.95,overcast clouds,9.2393,124.6578,,
295,Manali,IN,82.49,light rain,13.1667,80.2667,,
298,Champerico,GT,81.14,broken clouds,14.3,-91.9167,,
306,Kununurra,AU,87.78,clear sky,-15.7667,128.7333,,
312,Bima,ID,86.99,few clouds,-8.4667,118.7167,,
313,Wenatchee,US,86.38,clear sky,47.4235,-120.3103,,
316,Arlit,NE,90.61,clear sky,18.7369,7.3853,,
327,Ewa Beach,US,80.55,overcast clouds,21.3156,-158.0072,,
328,Luganville,VU,83.84,scattered clouds,-15.5333,167.1667,,
329,Tecoanapa,MX,80.44,overcast clouds,16.5167,-98.75,,
341,Cockburn Town,TC,82.71,overcast clouds,21.4612,-71.1419,,
348,Sao Miguel Do Araguaia,BR,80.87,overcast clouds,-13.275,-50.1628,,
359,Gigmoto,PH,85.15,overcast clouds,13.7796,124.39,,
366,Maba,CN,87.06,clear sky,24.6841,113.5984,,
370,Corcoran,US,86.81,clear sky,36.098,-119.5604,,
377,Ambulu,ID,80.04,overcast clouds,-8.345,113.6058,,
403,Lorengau,PG,85.48,few clouds,-2.0226,147.2712,,
409,Sunrise Manor,US,94.51,clear sky,36.2111,-115.0731,,
419,Mareeba,AU,82.49,overcast clouds,-17.0,145.4333,,
421,Nago,JP,84.63,clear sky,26.5881,127.9761,,
423,Kaohsiung,TW,88.03,scattered clouds,22.6163,120.3133,,
436,Daru,PG,82.99,scattered clouds,-9.0763,143.2092,,
437,Porto Nacional,BR,84.2,scattered clouds,-10.7081,-48.4172,,
452,Atambua,ID,82.29,overcast clouds,-9.1061,124.8925,,
456,Portland,US,88.39,clear sky,45.5234,-122.6762,,
463,Bremerton,US,81.09,clear sky,47.5673,-122.6326,,
464,Sorong,ID,82.22,scattered clouds,-0.8833,131.25,,
482,Princeton,US,82.42,overcast clouds,25.5384,-80.4089,,
486,Zhuhai,CN,85.78,scattered clouds,22.2769,113.5678,,
488,Auki,SB,84.99,scattered clouds,-8.7676,160.7034,,
490,San Policarpo,PH,84.13,overcast clouds,12.1791,125.5072,,
492,Vanimo,PG,85.48,broken clouds,-2.6741,141.3028,,
494,Sola,VU,86.67,scattered clouds,-13.8833,167.55,,
502,Manokwari,ID,84.22,few clouds,-0.8667,134.0833,,
513,Mahina,PF,82.17,scattered clouds,-17.5065,-149.489,,
515,Sao Raimundo Nonato,BR,80.19,clear sky,-9.0153,-42.6994,,
522,Pundaguitan,PH,82.74,overcast clouds,6.3711,126.1689,,
549,Doha,QA,84.18,clear sky,25.2867,51.5333,,
554,Ahuimanu,US,80.31,broken clouds,21.4447,-157.8378,,
570,Manaus,BR,82.89,few clouds,-3.1019,-60.025,,
573,Bodden Town,KY,84.2,few clouds,19.2833,-81.25,,
576,Kiunga,PG,86.59,broken clouds,-6.1219,141.2906,,
584,Guanica,PR,83.05,broken clouds,17.9716,-66.908,,
588,Beihai,CN,81.7,clear sky,21.4833,109.1,,
592,Bosaso,SO,83.79,overcast clouds,11.2842,49.1816,,
593,Tiquisate,GT,80.4,overcast clouds,14.2833,-91.3667,,
598,San Fernando,PH,82.13,overcast clouds,15.0286,120.6898,,
603,Male,MV,82.35,broken clouds,4.1748,73.5089,,
608,Ocos,GT,80.35,overcast clouds,14.5094,-92.1933,,
613,Dingle,PH,84.29,overcast clouds,10.9995,122.6711,,
622,Aden,YE,87.15,overcast clouds,12.7794,45.0367,,
625,Catalina,US,88.66,overcast clouds,32.5056,-110.9211,,
627,Samarai,PG,82.35,overcast clouds,-10.6167,150.6667,,
640,Atar,MR,89.17,clear sky,20.5169,-13.0499,,
642,Dhidhdhoo,MV,80.22,overcast clouds,6.8833,73.1,,
643,Sharjah,AE,84.18,haze,25.3573,55.4033,,
648,Biak,ID,81.52,broken clouds,-0.9131,122.8766,,
653,Metro,ID,80.02,overcast clouds,-5.1131,105.3067,,
654,Cairns,AU,87.12,broken clouds,-16.9167,145.7667,,
672,Dunmore Town,BS,81.93,clear sky,25.5,-76.65,,
